poi_id,name,lat,lon,category,rating,duration_min,popularity,opening_hours
llm_guangzhou_1,Canton Tower,23.1086,113.3305,tourism=attraction,4.7,120.0,0.9,09:00-22:30
llm_guangzhou_2,Yuexiu Park,23.1356,113.2762,leisure=park,4.5,90.0,0.85,06:00-22:00
llm_guangzhou_3,Guangdong Museum,23.1156,113.3255,tourism=museum,4.8,120.0,0.8,09:00-17:00
llm_guangzhou_4,Shamian Island,23.0962,113.2497,tourism=attraction,4.6,90.0,0.85,All Day
llm_guangzhou_5,Chen Clan Ancestral Hall,23.1206,113.2428,tourism=museum,4.7,90.0,0.8,09:00-17:30
llm_guangzhou_6,Zhujiang New Town,23.1154,113.3294,tourism=attraction,4.4,60.0,0.75,All Day
llm_guangzhou_7,Baiyun Mountain,23.1841,113.2742,leisure=park,4.5,180.0,0.8,06:00-18:00
llm_guangzhou_8,Sun Yat-sen Memorial Hall,23.1316,113.2661,tourism=attraction,4.5,90.0,0.75,08:00-17:30
llm_guangzhou_9,Guangzhou Opera House,23.1133,113.3297,tourism=attraction,4.6,90.0,0.8,10:00-18:00
llm_guangzhou_10,Liwan Lake Park,23.0986,113.2475,leisure=park,4.2,60.0,0.7,06:00-21:30
llm_guangzhou_11,Guangzhou Museum,23.1165,113.3251,tourism=museum,4.3,120.0,0.7,09:00-17:30
llm_guangzhou_12,Shishi Sacred Heart Cathedral,23.1212,113.2513,tourism=attraction,4.6,60.0,0.75,09:00-17:00
llm_guangzhou_13,Cantonese Opera Museum,23.1215,113.2618,tourism=museum,4.4,90.0,0.65,09:00-17:00
llm_guangzhou_14,Beijing Road Shopping District,23.1292,113.2605,tourism=attraction,4.5,120.0,0.8,10:00-22:00
llm_guangzhou_15,Nansha Wetland Park,22.8952,113.5805,leisure=park,4.7,150.0,0.85,06:00-18:00
llm_guangzhou_16,Xiguan Ancient Houses,23.0988,113.2427,tourism=attraction,4.3,60.0,0.7,All Day
llm_guangzhou_17,Guangdong Folk Arts Museum,23.1304,113.2691,tourism=museum,4.6,90.0,0.75,09:00-17:00
llm_guangzhou_18,Zhongshan Memorial Park,23.1132,113.2584,leisure=park,4.3,60.0,0.65,06:00-21:00
llm_guangzhou_19,Yuntai Garden,23.1034,113.3827,leisure=park,4.5,90.0,0.75,08:00-18:00
llm_guangzhou_20,Huacheng Square,23.1139,113.3283,tourism=attraction,4.4,60.0,0.7,All Day
llm_guangzhou_21,Cantonese Cuisine at Tao Tao Ju,23.12,113.2617,food=restaurant,4.5,90.0,0.85,10:00-22:00
llm_guangzhou_22,Chimelong Paradise,22.9994,113.3645,tourism=attraction,4.6,300.0,0.9,10:00-22:00
